"iPhone_Model	",Sentiment,Predicted sales(1000)
"7	",0.673,3.003
"7Plus	",0.718,3.72
"8	",0.72,3.76
"8Plus	",0.821,5.38
X,0.65,2.63
"XR	",0.9,6.66
"XS	",0.865,6.09
"XSMax	",0.78,4.72
